Year,Month,Day,Province,Fire_ID,Latitude,Longitude,Start_Date,Detect_Date,Cause,Size,Fire_Region,Fire_Zone,EcoZone,EcoRegion,EcoDistrict
1959,0,0,AB,10-10-59,54.6765,-115.2935,0/0/00,0/0/00,MAN,1569.00,10,NA,9,145,620
1959,0,0,AB,10-11-59,54.3141,-115.2962,0/0/00,0/0/00,LTG,294.00,10,NA,9,144,617
1959,0,0,AB,11-4-59,54.3985,-114.5342,0/0/00,0/0/00,MAN,417.00,11,NA,9,144,616
1959,0,0,AB,11-5-59,54.3381,-114.9421,0/0/00,0/0/00,MAN,498.00,11,NA,9,144,617
1959,0,0,AB,11-6-59,54.4381,-114.899,0/0/00,0/0/00,MAN,453.00,11,NA,9,144,617
1959,5,15,AB,16-3-59,54.462,-111.18,5/15/59,5/15/59,MAN,1190.28,16,NA,9,149,680
1959,5,14,AB,19A-4-59,55.609,-116.487,5/14/59,5/14/59,MAN,477.73,19A,NA,9,144,612
1959,5,17,AB,19A-9-59,55.3,-116.408,5/17/59,5/17/59,MAN,607.29,19A,NA,9,143,610
1959,5,17,AB,22-4-59,54.761,-117.343,5/17/59,5/17/59,LTG,245.34,22,NA,9,143,610
1959,5,16,AB,28A,56.238,-119.702,5/16/59,5/16/59,MAN,259.51,28A,NA,9,138,591
1959,5,21,AB,28A-4-59,56.282,-119.649,5/21/59,5/21/59,MAN,696.36,28A,NA,9,138,591
1959,5,14,AB,28B-1-59,56.416,-118.852,5/14/59,5/14/59,MAN,2627.13,28B,NA,9,138,591
1959,5,22,AB,29A-2-59,56.961,-117.345,5/22/59,5/22/59,MAN,229.96,29A,NA,9,138,588
1959,7,31,AB,29A-6-59,56.856,-119.87,7/31/59,8/1/59,LTG,272.87,29A,NA,9,137,583
1959,5,15,AB,30-10-59,57.9126,-115.6702,5/15/59,5/15/59,MAN,625.51,30,NA,9,139,601
1959,7,16,AB,30-2-59,58.4103,-115.6661,7/16/59,7/16/59,LTG,1228.34,30,NA,9,138,586
1959,5,16,AB,30-4-59,58.338,-116.054,5/16/59,5/16/59,MAN,242.11,30,NA,9,138,586
1959,4,27,AB,35-2-59,55.143,-116.401,4/27/59,4/28/59,MAN,317.41,35,NA,9,143,610
1959,5,20,AB,35-7-59,55.271,-116.004,5/20/59,5/20/59,MAN,314.58,35,NA,9,145,619
1959,7,8,AB,42-2-59,57.8518,-112.4,7/8/59,7/10/59,LTG,10662.75,42,NA,9,141,606
1959,7,12,AB,44-3-59,57.932,-114.2818,7/12/59,7/16/59,LTG,649.80,44,NA,9,142,607
1959,7,11,AB,45,56.601,-116.603,7/11/59,7/11/59,LTG,1036.03,45,NA,9,138,588
1959,7,18,AB,53-2-59,53.245,-117.697,7/18/59,7/18/59,MAN,346.96,53,NA,14,207,998
1959,0,0,AB,5-5-59,53.2774,-115.2558,0/0/00,0/0/00,MAN,535.00,5,NA,9,145,623
1959,0,0,AB,6-17-59,53.7679,-115.2947,0/0/00,0/0/00,MAN,647.00,6,NA,9,149,692
1959,7,10,AB,62-6-59,59.254,-115.6804,7/10/59,7/11/59,LTG,1024.70,62,NA,4,67,254
1959,0,0,AB,6-7-59,53.7097,-115.061,0/0/00,0/0/00,MAN,243.00,6,NA,9,145,622
1959,0,0,AB,9-8-59,54.0957,-115.5612,0/0/00,0/0/00,MAN,368.00,9,NA,9,144,617
1959,4,1,BC,3090025,60,-133.6,4/1/59,0/0/00,MAN,3205.10,PrR,INT,12,177,905
