"Year" "Month" "Day" "Province" "Latitude" "Longitude" "Cause" "Size"
1959 4 1 "BC" 60 -133.6 "MAN" 3205.1
1959 4 27 "AB" 55.143 -116.401 "MAN" 317.41
1959 5 8 "SK" 53.634 -108.691 "MAN" 1068.82
1959 5 10 "BC" 56.6 -122 "MAN" 513.9
1959 5 10 "QC" 47.4705 -77.31835 "MAN" 263.05
1959 5 11 "BC" 51.7 -123 "MAN" 1214
1959 5 11 "BC" 51.8 -123.3 "MAN" 1214
1959 5 12 "BC" 51.6 -122.2 "MAN" 220.6
1959 5 12 "BC" 57.2 -121.3 "MAN" 258.9
1959 5 12 "BC" 52.5 -122.3 "MAN" 283.2
1959 5 12 "BC" 52.3 -123.1 "MAN" 283.2
1959 5 12 "BC" 51.5 -122.2 "MAN" 360.1
1959 5 12 "BC" 56.7 -122.5 "MAN" 776.9
1959 5 12 "SK" 53.769 -109.079 "MAN" 404.85
1959 5 13 "BC" 57.3 -121.5 "MAN" 258.9
1959 5 13 "BC" 58.7 -124.9 "MAN" 498.5
1959 5 13 "BC" 56.6 -122.4 "MAN" 602.9
1959 5 13 "BC" 52.1 -121.7 "MAN" 1027.9
1959 5 13 "BC" 55.8 -121.5 "MAN" 1622.7
1959 5 13 "QC" 46.65257 -74.15032 "LTG" 453.26
1959 5 14 "AB" 55.609 -116.487 "MAN" 477.73
1959 5 14 "AB" 56.416 -118.852 "MAN" 2627.13
1959 5 14 "BC" 56.4 -121.3 "MAN" 424.9
1959 5 14 "BC" 56.5 -121.6 "MAN" 1294.9
1959 5 15 "AB" 57.9126 -115.6702 "MAN" 625.51
1959 5 15 "AB" 54.462 -111.18 "MAN" 1190.28
1959 5 15 "BC" 56.2 -120.4 "MAN" 242.8
1959 5 15 "BC" 56.4 -120 "MAN" 607
1959 5 15 "BC" 56.1 -121.1 "MAN" 2136.7
1959 5 15 "BC" 52.1 -120.5 "MAN" 2832.8
1959 5 16 "AB" 58.338 -116.054 "MAN" 242.11
1959 5 16 "AB" 56.238 -119.702 "MAN" 259.51
1959 5 16 "BC" 56.3 -120 "MAN" 258.9
1959 5 17 "AB" 54.761 -117.343 "LTG" 245.34
1959 5 17 "AB" 55.3 -116.408 "MAN" 607.29
1959 5 18 "BC" 56 -121.4 "MAN" 579.5
1959 5 18 "BC" 55.7 -120.9 "MAN" 681.8
1959 5 18 "BC" 57.1 -121.4 "MAN" 2962.3
1959 5 19 "BC" 55.6 -120.7 "MAN" 289.3
1959 5 19 "SK" 53.762 -109.017 "MAN" 518.21
