"Year" "Month" "TotalFire"
1959 4 2
1959 5 53
1959 6 25
1959 7 66
1959 8 4
1959 9 1
1964 4 23
1964 5 37
1964 6 74
1964 7 63
1964 8 4
1964 9 2
1964 10 5
1969 4 2
1969 5 25
1969 6 102
1969 7 68
1969 8 27
1969 9 8
1974 4 3
1974 5 2
1974 6 63
1974 7 82
1974 8 12
1974 9 7
1974 10 6
1979 3 1
1979 4 1
1979 5 13
1979 6 73
1979 7 132
1979 8 20
1979 9 6
1979 10 2
1979 11 4
1984 4 47
1984 5 22
1984 6 38
1984 7 75
1984 8 36
1984 9 2
1984 12 1
1989 2 1
1989 4 11
1989 5 56
1989 6 88
1989 7 451
1989 8 149
1989 9 11
1989 10 2
1989 11 1
1994 4 5
1994 5 27
1994 6 142
1994 7 131
1994 8 62
1994 9 16
1994 10 1
1999 4 24
1999 5 64
1999 6 80
1999 7 49
1999 8 47
1999 9 5
1999 10 2
1999 11 1
