"Year" "Cause" "TotalFire"
1959 "LTG" 52
1959 "MAN" 93
1959 "UNK" 6
1960 "LTG" 178
1960 "MAN" 64
1960 "UNK" 8
1961 "LTG" 252
1961 "MAN" 186
1961 "UNK" 15
1962 "LTG" 39
1962 "MAN" 74
1962 "UNK" 2
1963 "LTG" 54
1963 "MAN" 63
1963 "UNK" 4
1964 "LTG" 115
1964 "MAN" 91
1964 "UNK" 2
1965 "LTG" 37
1965 "MAN" 50
1965 "UNK" 5
1966 "LTG" 72
1966 "MAN" 32
1966 "UNK" 9
1967 "LTG" 157
1967 "MAN" 122
1967 "UNK" 15
1968 "LTG" 42
1968 "MAN" 117
1968 "UNK" 21
1969 "LTG" 145
1969 "MAN" 64
1969 "UNK" 23
1970 "LTG" 174
1970 "MAN" 70
1971 "LTG" 199
1971 "MAN" 89
1971 "UNK" 8
1972 "LTG" 163
1972 "MAN" 46
1972 "UNK" 4
1973 "LTG" 125
1973 "MAN" 68
1974 "LTG" 137
1974 "MAN" 36
1974 "UNK" 2
1975 "LTG" 118
1975 "MAN" 48
1975 "UNK" 11
1976 "LTG" 286
1976 "MAN" 103
1976 "UNK" 11
1977 "LTG" 160
1977 "MAN" 86
1977 "UNK" 3
1978 "LTG" 56
1978 "MAN" 25
1978 "UNK" 1
1979 "LTG" 213
1979 "MAN" 37
1979 "UNK" 2
1980 "LTG" 292
1980 "MAN" 126
1980 "UNK" 8
1981 "LTG" 311
1981 "MAN" 76
1981 "UNK" 6
1982 "LTG" 211
1982 "MAN" 49
1982 "UNK" 1
1983 "LTG" 271
1983 "MAN" 43
1983 "UNK" 2
1984 "LTG" 145
1984 "MAN" 73
1984 "UNK" 3
1985 "LTG" 134
1985 "MAN" 70
1986 "LTG" 109
1986 "MAN" 51
1986 "UNK" 7
1987 "LTG" 207
1987 "MAN" 76
1987 "UNK" 4
1988 "LTG" 222
1988 "MAN" 69
1989 "LTG" 670
1989 "MAN" 99
1989 "UNK" 1
1990 "LTG" 193
1990 "MAN" 48
1990 "UNK" 2
1991 "LTG" 242
1991 "MAN" 69
1991 "UNK" 1
1992 "LTG" 107
1992 "MAN" 46
1993 "LTG" 170
1993 "MAN" 32
1994 "LTG" 342
1994 "MAN" 42
1995 "LTG" 380
1995 "MAN" 42
1995 "UNK" 12
1996 "LTG" 409
1996 "MAN" 19
1996 "UNK" 10
1997 "LTG" 114
1997 "MAN" 10
1997 "UNK" 2
1998 "LTG" 403
1998 "MAN" 54
1998 "UNK" 27
1999 "LTG" 195
1999 "MAN" 64
1999 "UNK" 13
