"Year" "Province" "Cause" "TotalFire"
1959 "AB" "LTG" 7
1959 "AB" "MAN" 12
1959 "BC" "LTG" 4
1959 "BC" "MAN" 50
1959 "MB" "LTG" 3
1959 "MB" "MAN" 3
1959 "NL" "MAN" 5
1959 "NT" "LTG" 12
1959 "NT" "MAN" 2
1959 "NT" "UNK" 4
1959 "ON" "MAN" 1
1959 "QC" "LTG" 9
1959 "QC" "MAN" 12
1959 "QC" "UNK" 2
1959 "SK" "LTG" 5
1959 "SK" "MAN" 7
1959 "YT" "LTG" 12
1959 "YT" "MAN" 1
1960 "AB" "MAN" 1
1960 "BC" "LTG" 57
1960 "BC" "MAN" 32
1960 "MB" "LTG" 55
1960 "MB" "MAN" 10
1960 "NL" "MAN" 9
1960 "NS" "MAN" 2
1960 "NS" "UNK" 2
1960 "NT" "LTG" 14
1960 "NT" "UNK" 5
1960 "ON" "LTG" 9
1960 "QC" "LTG" 13
1960 "QC" "MAN" 7
1960 "QC" "UNK" 1
1960 "SK" "LTG" 28
1960 "YT" "LTG" 2
1960 "YT" "MAN" 3
1961 "AB" "LTG" 29
1961 "AB" "MAN" 11
1961 "AB" "UNK" 3
1961 "BC" "LTG" 75
1961 "BC" "MAN" 61
1961 "MB" "LTG" 69
1961 "MB" "MAN" 80
1961 "MB" "UNK" 1
1961 "NL" "LTG" 3
1961 "NL" "MAN" 12
1961 "NL" "UNK" 7
1961 "NS" "LTG" 1
1961 "NS" "MAN" 3
1961 "NT" "LTG" 38
1961 "NT" "UNK" 3
1961 "ON" "LTG" 28
1961 "ON" "MAN" 3
1961 "QC" "LTG" 5
1961 "QC" "MAN" 11
1961 "QC" "UNK" 1
1961 "SK" "MAN" 5
1961 "YT" "LTG" 4
1962 "AB" "LTG" 1
1962 "BC" "LTG" 2
1962 "BC" "MAN" 8
1962 "MB" "LTG" 10
1962 "MB" "MAN" 17
1962 "NL" "MAN" 1
1962 "NT" "LTG" 9
1962 "NT" "MAN" 1
1962 "NT" "UNK" 2
1962 "ON" "LTG" 2
1962 "ON" "MAN" 7
1962 "QC" "LTG" 5
1962 "QC" "MAN" 37
1962 "SK" "LTG" 4
1962 "SK" "MAN" 3
1962 "YT" "LTG" 6
1963 "AB" "LTG" 5
1963 "AB" "MAN" 1
1963 "BC" "LTG" 4
1963 "BC" "MAN" 7
1963 "MB" "LTG" 16
1963 "MB" "MAN" 15
1963 "MB" "UNK" 1
1963 "NL" "MAN" 2
1963 "NS" "MAN" 1
1963 "NT" "LTG" 5
1963 "NT" "UNK" 1
1963 "ON" "LTG" 4
1963 "ON" "MAN" 6
1963 "QC" "LTG" 8
1963 "QC" "MAN" 22
1963 "QC" "UNK" 2
1963 "SK" "LTG" 9
1963 "SK" "MAN" 8
1963 "YT" "LTG" 3
1963 "YT" "MAN" 1
1964 "AB" "LTG" 5
1964 "AB" "MAN" 4
1964 "BC" "MAN" 2
1964 "MB" "LTG" 31
1964 "MB" "MAN" 49
1964 "NL" "MAN" 3
1964 "NT" "LTG" 25
1964 "NT" "MAN" 1
1964 "NT" "UNK" 1
1964 "ON" "LTG" 9
1964 "ON" "MAN" 4
1964 "QC" "LTG" 8
1964 "QC" "MAN" 16
